product_id,name,category,color,material,price,currency,description,image_url,sizes,stock,in_stock,rating,reviews,sku,brand,slot,formality
BOSS00001,Burgundy Relaxed-Fit Slim-Fit Hoodie,Hoodies,Burgundy,Fleece,189,€,Premium BOSS hoodies crafted from Fleece. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"L,XS,XL,S",53,True,4.9,203,HOO00001,BOSS,TOPS,CASUAL
BOSS00002,Charcoal Slim-Fit Logo Hoodie,Hoodies,Charcoal,Cotton,119,€,Premium BOSS hoodies crafted from Cotton. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"XXL,XL,S,XS,L,M",84,True,4.3,444,HOO00002,BOSS,TOPS,CASUAL
BOSS00003,Navy Slim-Fit Zip-Up Hoodie,Hoodies,Navy,French Terry,219,€,Premium BOSS hoodies crafted from French Terry. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"S,XS,XL,XXL,L,M",53,True,4.7,539,HOO00003,BOSS,TOPS,CASUAL
BOSS00004,Navy Slim-Fit Zip-Up Hoodie,Hoodies,Navy,Fleece,139,€,Premium BOSS hoodies crafted from Fleece. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"XS,XL,L,XXL,M",16,True,4.9,475,HOO00004,BOSS,TOPS,CASUAL
BOSS00005,White Relaxed-Fit Zip-Up Hoodie,Hoodies,White,Cotton Blend,209,€,Premium BOSS hoodies crafted from Cotton Blend. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"XS,M,L,XXL",80,True,4.4,219,HOO00005,BOSS,TOPS,CASUAL
BOSS00006,Black Oversized Slim-Fit Hoodie,Hoodies,Black,Cotton Blend,169,€,Premium BOSS hoodies crafted from Cotton Blend. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"L,XXL,XS,M,XL",98,True,4.5,147,HOO00006,BOSS,TOPS,CASUAL
BOSS00007,White Tailored-Fit Logo Hoodie,Hoodies,White,Cotton,139,€,Premium BOSS hoodies crafted from Cotton. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"M,XXL,S,XL",64,True,4.9,664,HOO00007,BOSS,TOPS,CASUAL
BOSS00008,Olive Tailored-Fit Logo Hoodie,Hoodies,Olive,Cotton Blend,129,€,Premium BOSS hoodies crafted from Cotton Blend. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"L,XXL,XL,XS",96,True,4.5,194,HOO00008,BOSS,TOPS,CASUAL
BOSS00009,Olive Regular-Fit Pullover Hoodie,Hoodies,Olive,Cotton Blend,179,€,Premium BOSS hoodies crafted from Cotton Blend. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"XXL,XL,M,S",50,True,4.1,591,HOO00009,BOSS,TOPS,CASUAL
BOSS00010,Navy Relaxed-Fit Oversized Hoodie,Hoodies,Navy,Fleece,179,€,Premium BOSS hoodies crafted from Fleece. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"XS,M,S,XXL",50,True,4.9,709,HOO00010,BOSS,TOPS,CASUAL
BOSS00011,Beige Tailored-Fit Logo Hoodie,Hoodies,Beige,Cotton Blend,129,€,Premium BOSS hoodies crafted from Cotton Blend. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"XL,M,XS,S,XXL",22,True,4.9,352,HOO00011,BOSS,TOPS,CASUAL
BOSS00012,Beige Relaxed-Fit Pullover Hoodie,Hoodies,Beige,Cotton Blend,239,€,Premium BOSS hoodies crafted from Cotton Blend. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"L,XS,XXL,M,S,XL",60,True,4.4,575,HOO00012,BOSS,TOPS,CASUAL
BOSS00013,Grey Regular-Fit Slim-Fit Hoodie,Hoodies,Grey,Cotton,189,€,Premium BOSS hoodies crafted from Cotton. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"XXL,S,XL,M,XS,L",41,True,4.1,680,HOO00013,BOSS,TOPS,CASUAL
BOSS00014,Burgundy Oversized Zip-Up Hoodie,Hoodies,Burgundy,Cotton,159,€,Premium BOSS hoodies crafted from Cotton. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"XL,L,S,XXL,XS",27,True,4.7,743,HOO00014,BOSS,TOPS,CASUAL
BOSS00015,Navy Slim-Fit Zip-Up Hoodie,Hoodies,Navy,French Terry,219,€,Premium BOSS hoodies crafted from French Terry. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"L,XXL,XL,M",94,True,4.9,415,HOO00015,BOSS,TOPS,CASUAL
BOSS00016,Brown Tailored-Fit Oversized Hoodie,Hoodies,Brown,Cotton,159,€,Premium BOSS hoodies crafted from Cotton. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"M,XS,XXL,XL",88,True,4.9,283,HOO00016,BOSS,TOPS,CASUAL
BOSS00017,Charcoal Oversized Slim-Fit Hoodie,Hoodies,Charcoal,French Terry,209,€,Premium BOSS hoodies crafted from French Terry. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"XS,S,XL,XXL",11,True,4.4,370,HOO00017,BOSS,TOPS,CASUAL
BOSS00018,Burgundy Oversized Logo Hoodie,Hoodies,Burgundy,French Terry,209,€,Premium BOSS hoodies crafted from French Terry. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"L,S,M,XXL",61,True,4.5,144,HOO00018,BOSS,TOPS,CASUAL
BOSS00019,White Slim-Fit Slim-Fit Hoodie,Hoodies,White,French Terry,229,€,Premium BOSS hoodies crafted from French Terry. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"M,S,L,XXL,XS,XL",68,True,4.7,112,HOO00019,BOSS,TOPS,CASUAL
BOSS00020,Grey Regular-Fit Oversized Hoodie,Hoodies,Grey,Cotton,129,€,Premium BOSS hoodies crafted from Cotton. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"S,XS,XXL,L,XL,M",41,True,4.6,720,HOO00020,BOSS,TOPS,CASUAL
BOSS00021,White Slim-Fit Slim-Fit Hoodie,Hoodies,White,Cotton Blend,219,€,Premium BOSS hoodies crafted from Cotton Blend. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"M,L,S,XS,XL,XXL",17,True,4.2,413,HOO00021,BOSS,TOPS,CASUAL
BOSS00022,Grey Slim-Fit Slim-Fit Hoodie,Hoodies,Grey,Cotton Blend,229,€,Premium BOSS hoodies crafted from Cotton Blend. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"L,S,XXL,XL,XS,M",69,True,4.3,499,HOO00022,BOSS,TOPS,CASUAL
BOSS00023,White Slim-Fit Zip-Up Hoodie,Hoodies,White,Cotton,149,€,Premium BOSS hoodies crafted from Cotton. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"XXL,XL,XS,S,M",84,True,4.3,301,HOO00023,BOSS,TOPS,CASUAL
BOSS00024,Black Relaxed-Fit Logo Hoodie,Hoodies,Black,Fleece,229,€,Premium BOSS hoodies crafted from Fleece. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"XXL,L,XL,XS,S,M",17,True,4.3,238,HOO00024,BOSS,TOPS,CASUAL
BOSS00025,Beige Regular-Fit Logo Hoodie,Hoodies,Beige,Cotton,199,€,Premium BOSS hoodies crafted from Cotton. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"XL,XXL,S,M,L",88,True,4.1,683,HOO00025,BOSS,TOPS,CASUAL
BOSS00026,Navy Slim-Fit Zip-Up Hoodie,Hoodies,Navy,Fleece,219,€,Premium BOSS hoodies crafted from Fleece. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"XL,L,XS,XXL,S,M",37,True,4.3,286,HOO00026,BOSS,TOPS,CASUAL
BOSS00027,Black Tailored-Fit Slim-Fit Hoodie,Hoodies,Black,French Terry,229,€,Premium BOSS hoodies crafted from French Terry. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"S,M,L,XL,XXL,XS",57,True,4.1,235,HOO00027,BOSS,TOPS,CASUAL
BOSS00028,Burgundy Tailored-Fit Zip-Up Hoodie,Hoodies,Burgundy,Cotton,149,€,Premium BOSS hoodies crafted from Cotton. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"S,L,XS,M",66,True,4.6,346,HOO00028,BOSS,TOPS,CASUAL
BOSS00029,Brown Relaxed-Fit Pullover Hoodie,Hoodies,Brown,Fleece,159,€,Premium BOSS hoodies crafted from Fleece. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"M,S,XXL,XS",31,True,4.0,505,HOO00029,BOSS,TOPS,CASUAL
BOSS00030,Brown Tailored-Fit Logo Hoodie,Hoodies,Brown,Cotton Blend,169,€,Premium BOSS hoodies crafted from Cotton Blend. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"L,M,XXL,S",98,True,4.4,241,HOO00030,BOSS,TOPS,CASUAL
BOSS00031,Olive Slim-Fit Zip-Up Hoodie,Hoodies,Olive,Cotton,129,€,Premium BOSS hoodies crafted from Cotton. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"M,L,XS,XXL,XL,S",42,True,4.4,277,HOO00031,BOSS,TOPS,CASUAL
BOSS00032,Beige Slim-Fit Oversized Hoodie,Hoodies,Beige,Fleece,199,€,Premium BOSS hoodies crafted from Fleece. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"S,XXL,XL,M,L,XS",17,True,4.9,391,HOO00032,BOSS,TOPS,CASUAL
BOSS00033,Olive Oversized Zip-Up Hoodie,Hoodies,Olive,French Terry,169,€,Premium BOSS hoodies crafted from French Terry. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"XS,XL,L,S,XXL",93,True,4.2,231,HOO00033,BOSS,TOPS,CASUAL
BOSS00034,Charcoal Relaxed-Fit Oversized Hoodie,Hoodies,Charcoal,French Terry,169,€,Premium BOSS hoodies crafted from French Terry. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"XXL,L,M,XL,XS,S",99,True,4.2,140,HOO00034,BOSS,TOPS,CASUAL
BOSS00035,Grey Oversized Slim-Fit Hoodie,Hoodies,Grey,Cotton,159,€,Premium BOSS hoodies crafted from Cotton. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"XS,XXL,L,M,S",24,True,4.2,668,HOO00035,BOSS,TOPS,CASUAL
BOSS00036,White Regular-Fit Oversized Hoodie,Hoodies,White,Cotton Blend,219,€,Premium BOSS hoodies crafted from Cotton Blend. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"XS,XL,L,S,M,XXL",40,True,4.6,671,HOO00036,BOSS,TOPS,CASUAL
BOSS00037,Olive Regular-Fit Slim-Fit Hoodie,Hoodies,Olive,French Terry,229,€,Premium BOSS hoodies crafted from French Terry. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"XS,S,M,XXL",32,True,4.6,486,HOO00037,BOSS,TOPS,CASUAL
BOSS00038,Black Slim-Fit Logo Hoodie,Hoodies,Black,Cotton Blend,169,€,Premium BOSS hoodies crafted from Cotton Blend. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"S,L,XL,M,XS",11,True,4.3,332,HOO00038,BOSS,TOPS,CASUAL
BOSS00039,Brown Regular-Fit Zip-Up Hoodie,Hoodies,Brown,Fleece,189,€,Premium BOSS hoodies crafted from Fleece. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"S,L,XS,XXL,XL",17,True,4.3,518,HOO00039,BOSS,TOPS,CASUAL
BOSS00040,Grey Oversized Zip-Up Hoodie,Hoodies,Grey,Cotton,149,€,Premium BOSS hoodies crafted from Cotton. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"S,XL,L,M,XS",33,True,4.8,485,HOO00040,BOSS,TOPS,CASUAL
BOSS00041,Charcoal Oversized Zip-Up Hoodie,Hoodies,Charcoal,French Terry,219,€,Premium BOSS hoodies crafted from French Terry. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"XL,XS,L,S",89,True,4.9,25,HOO00041,BOSS,TOPS,CASUAL
BOSS00042,Olive Slim-Fit Pullover Hoodie,Hoodies,Olive,Fleece,169,€,Premium BOSS hoodies crafted from Fleece. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"M,XL,S,XS,XXL,L",72,True,4.7,495,HOO00042,BOSS,TOPS,CASUAL
BOSS00043,Brown Regular-Fit Logo Hoodie,Hoodies,Brown,Cotton Blend,159,€,Premium BOSS hoodies crafted from Cotton Blend. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"XL,S,XS,L,XXL",64,True,4.9,27,HOO00043,BOSS,TOPS,CASUAL
BOSS00044,Charcoal Relaxed-Fit Slim-Fit Hoodie,Hoodies,Charcoal,Cotton Blend,239,€,Premium BOSS hoodies crafted from Cotton Blend. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"XS,S,XL,M,L",49,True,4.5,586,HOO00044,BOSS,TOPS,CASUAL
BOSS00045,Charcoal Slim-Fit Oversized Hoodie,Hoodies,Charcoal,Cotton,159,€,Premium BOSS hoodies crafted from Cotton. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"M,XL,S,L",15,True,4.3,632,HOO00045,BOSS,TOPS,CASUAL
BOSS00046,Beige Oversized Slim-Fit Hoodie,Hoodies,Beige,Cotton,139,€,Premium BOSS hoodies crafted from Cotton. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"M,S,L,XS",77,True,4.9,566,HOO00046,BOSS,TOPS,CASUAL
BOSS00047,Black Oversized Oversized Hoodie,Hoodies,Black,French Terry,239,€,Premium BOSS hoodies crafted from French Terry. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"XL,S,L,XS,XXL",58,True,5.0,672,HOO00047,BOSS,TOPS,CASUAL
BOSS00048,Olive Relaxed-Fit Slim-Fit Hoodie,Hoodies,Olive,Cotton,169,€,Premium BOSS hoodies crafted from Cotton. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"XS,M,S,L",99,True,4.4,96,HOO00048,BOSS,TOPS,CASUAL
BOSS00049,Brown Oversized Zip-Up Hoodie,Hoodies,Brown,Cotton Blend,199,€,Premium BOSS hoodies crafted from Cotton Blend. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"S,M,L,XXL,XL,XS",82,True,5.0,105,HOO00049,BOSS,TOPS,CASUAL
BOSS00050,Olive Slim-Fit Pullover Hoodie,Hoodies,Olive,Cotton,139,€,Premium BOSS hoodies crafted from Cotton. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"L,XXL,S,M,XS",62,True,4.9,272,HOO00050,BOSS,TOPS,CASUAL
BOSS00051,Beige Tailored-Fit Oversized Hoodie,Hoodies,Beige,French Terry,209,€,Premium BOSS hoodies crafted from French Terry. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"M,XL,S,XS",56,True,4.6,100,HOO00051,BOSS,TOPS,CASUAL
BOSS00052,Burgundy Tailored-Fit Zip-Up Hoodie,Hoodies,Burgundy,Cotton Blend,239,€,Premium BOSS hoodies crafted from Cotton Blend. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"XL,M,S,XXL",17,True,4.6,123,HOO00052,BOSS,TOPS,CASUAL
BOSS00053,Olive Slim-Fit Slim-Fit Hoodie,Hoodies,Olive,Fleece,149,€,Premium BOSS hoodies crafted from Fleece. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"S,L,XS,XL",90,True,4.5,313,HOO00053,BOSS,TOPS,CASUAL
BOSS00054,White Relaxed-Fit Oversized Hoodie,Hoodies,White,Fleece,199,€,Premium BOSS hoodies crafted from Fleece. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"XXL,XS,L,S,M",89,True,4.6,219,HOO00054,BOSS,TOPS,CASUAL
BOSS00055,Charcoal Oversized Pullover Hoodie,Hoodies,Charcoal,French Terry,179,€,Premium BOSS hoodies crafted from French Terry. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"M,L,XXL,S,XL,XS",97,True,4.3,176,HOO00055,BOSS,TOPS,CASUAL
BOSS00056,Brown Oversized Logo Hoodie,Hoodies,Brown,Cotton,219,€,Premium BOSS hoodies crafted from Cotton. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"XS,XL,S,M,XXL",56,True,4.4,205,HOO00056,BOSS,TOPS,CASUAL
BOSS00057,White Slim-Fit Slim-Fit Hoodie,Hoodies,White,Fleece,159,€,Premium BOSS hoodies crafted from Fleece. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"M,XL,XXL,XS",71,True,4.4,574,HOO00057,BOSS,TOPS,CASUAL
BOSS00058,Navy Tailored-Fit Logo Hoodie,Hoodies,Navy,French Terry,149,€,Premium BOSS hoodies crafted from French Terry. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"XL,XS,M,L,XXL",30,True,4.9,291,HOO00058,BOSS,TOPS,CASUAL
BOSS00059,Burgundy Tailored-Fit Slim-Fit Hoodie,Hoodies,Burgundy,Fleece,139,€,Premium BOSS hoodies crafted from Fleece. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"XL,S,XS,L,XXL,M",26,True,4.4,451,HOO00059,BOSS,TOPS,CASUAL
BOSS00060,Olive Relaxed-Fit Oversized Hoodie,Hoodies,Olive,Cotton Blend,229,€,Premium BOSS hoodies crafted from Cotton Blend. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"M,L,S,XL,XS,XXL",57,True,4.7,570,HOO00060,BOSS,TOPS,CASUAL
BOSS00061,White Oversized Slim-Fit Hoodie,Hoodies,White,Cotton Blend,169,€,Premium BOSS hoodies crafted from Cotton Blend. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"S,L,XXL,XS,XL",69,True,4.5,227,HOO00061,BOSS,TOPS,CASUAL
BOSS00062,Charcoal Relaxed-Fit Oversized Hoodie,Hoodies,Charcoal,Fleece,219,€,Premium BOSS hoodies crafted from Fleece. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"XL,S,XS,L",59,True,4.8,647,HOO00062,BOSS,TOPS,CASUAL
BOSS00063,Beige Slim-Fit Slim-Fit Hoodie,Hoodies,Beige,French Terry,219,€,Premium BOSS hoodies crafted from French Terry. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"L,XL,XS,S,M",18,True,4.4,646,HOO00063,BOSS,TOPS,CASUAL
BOSS00064,Beige Regular-Fit Oversized Hoodie,Hoodies,Beige,Cotton Blend,179,€,Premium BOSS hoodies crafted from Cotton Blend. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"S,L,XS,XL,M,XXL",11,True,4.9,572,HOO00064,BOSS,TOPS,CASUAL
BOSS00065,Brown Oversized Logo Hoodie,Hoodies,Brown,French Terry,229,€,Premium BOSS hoodies crafted from French Terry. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"S,XL,M,XS,XXL,L",72,True,4.6,544,HOO00065,BOSS,TOPS,CASUAL
BOSS00066,White Tailored-Fit Zip-Up Hoodie,Hoodies,White,Cotton,219,€,Premium BOSS hoodies crafted from Cotton. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"S,XL,M,L",58,True,4.6,54,HOO00066,BOSS,TOPS,CASUAL
BOSS00067,Navy Oversized Zip-Up Hoodie,Hoodies,Navy,French Terry,129,€,Premium BOSS hoodies crafted from French Terry. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"XXL,XL,S,L,XS,M",40,True,4.5,506,HOO00067,BOSS,TOPS,CASUAL
BOSS00068,Navy Oversized Slim-Fit Hoodie,Hoodies,Navy,Cotton,129,€,Premium BOSS hoodies crafted from Cotton. Modern fit with refined detailing.,images/hoodies/relaxed-fit_zip-neck_sweatshirt_with_quilted_jacquard_light_grey.jpg,"S,XXL,M,XS",89,True,4.8,684,HOO00068,BOSS,TOPS,CASUAL
